keyword_id,keyword
0,photooftheday
1,instagood
2,nofilter
3,tbt
4,igers
5,picoftheday
6,love
7,nature
8,swag
9,lifeisgood
10,caseofthemondays
11,instapic
12,instadaily
13,selfie
14,instamood
15,bestoftheday
16,followme
17,likeforlike
18,like4like
19,follow4follow
20,followforfollow
21,f4f
22,styleinspo
23,ootd
24,outfitoftheday
25,whatiwore
26,shoppingaddict
27,beautydoesnthavetobepain
28,currentlywearing
29,instastyle
30,lookgoodfeelgood
31,instafood
32,omnomnom
33,foodporn
34,food
35,foodie
36,organic
37,healthyeats
38,goodeats
39,vegetarian
40,vegan
41,glutenfree
42,hungry
43,homemade
44,madefromscratch
45,travel
46,staycation
47,vacation
48,sunsout
49,resortwear
50,tourist
51,travelbug
52,solotravel
53,honeymoon
54,traveltuesday
55,wanderlust
56,wanderlustwednesday
57,travelgram
58,sun
59,puppylove
60,mansbestfriend
61,womansbestfriend
62,catsofinstagram
63,dogsofinstagram
64,dogstagram
65,doglife
66,catlife
67,instapet
68,techie
69,latesttech
70,ilovemygadgets
71,gadgetsgalore
72,apple
73,android
74,applevsandroid
75,wearabletech
